"TIME","GEO","UNIT","LANDUSE","Value","Flag and Footnotes"
"2013","PL","KM2","TOTAL","311,928",""
"2013","PL1","KM2","TOTAL","53,778",""
"2013","PL11","KM2","TOTAL","18,219",""
"2013","PL113","KM2","TOTAL","293",""
"2013","PL114","KM2","TOTAL","2,206",""
"2013","PL115","KM2","TOTAL","5,971",""
"2013","PL116","KM2","TOTAL","5,667",""
"2013","PL117","KM2","TOTAL","4,082",""
"2013","PL12","KM2","TOTAL","35,559",""
"2013","PL127","KM2","TOTAL","517",""
"2013","PL128","KM2","TOTAL","5,763",""
"2013","PL129","KM2","TOTAL","5,104",""
"2013","PL12A","KM2","TOTAL","4,304",""
"2013","PL12B","KM2","TOTAL","5,255",""
"2013","PL12C","KM2","TOTAL","3,352",""
"2013","PL12D","KM2","TOTAL","6,505",""
"2013","PL12E","KM2","TOTAL","4,759",""
"2013","PL2","KM2","TOTAL","27,518",""
"2013","PL21","KM2","TOTAL","15,184",""
"2013","PL213","KM2","TOTAL","327",""
"2013","PL214","KM2","TOTAL","4,054",""
"2013","PL217","KM2","TOTAL","2,605",""
"2013","PL218","KM2","TOTAL","3,525",""
"2013","PL219","KM2","TOTAL","2,632",""
"2013","PL21A","KM2","TOTAL","2,040",""
"2013","PL22","KM2","TOTAL","12,334",""
"2013","PL224","KM2","TOTAL","3,049",""
"2013","PL225","KM2","TOTAL","2,353",""
"2013","PL227","KM2","TOTAL","1,352",""
"2013","PL228","KM2","TOTAL","1,576",""
"2013","PL229","KM2","TOTAL","879",""
"2013","PL22A","KM2","TOTAL","380",""
"2013","PL22B","KM2","TOTAL","1,800",""
"2013","PL22C","KM2","TOTAL","944",""
"2013","PL3","KM2","TOTAL","74,864",""
"2013","PL31","KM2","TOTAL","25,123",""
"2013","PL311","KM2","TOTAL","5,977",""
"2013","PL312","KM2","TOTAL","9,291",""
"2013","PL314","KM2","TOTAL","4,221",""
"2013","PL315","KM2","TOTAL","5,634",""
"2013","PL32","KM2","TOTAL","17,846",""
"2013","PL323","KM2","TOTAL","5,537",""
"2013","PL324","KM2","TOTAL","4,293",""
"2013","PL325","KM2","TOTAL","3,551",""
"2013","PL326","KM2","TOTAL","4,465",""
"2013","PL33","KM2","TOTAL","11,709",""
"2013","PL331","KM2","TOTAL","5,031",""
"2013","PL332","KM2","TOTAL","6,678",""
"2013","PL34","KM2","TOTAL","20,187",""
"2013","PL343","KM2","TOTAL","5,133",""
"2013","PL344","KM2","TOTAL","8,817",""
"2013","PL345","KM2","TOTAL","6,237",""
"2013","PL4","KM2","TOTAL","66,258",""
"2013","PL41","KM2","TOTAL","29,827",""
"2013","PL411","KM2","TOTAL","6,459",""
"2013","PL414","KM2","TOTAL","6,397",""
"2013","PL415","KM2","TOTAL","262",""
"2013","PL416","KM2","TOTAL","5,786",""
"2013","PL417","KM2","TOTAL","5,995",""
"2013","PL418","KM2","TOTAL","4,927",""
"2013","PL42","KM2","TOTAL","22,443",""
"2013","PL424","KM2","TOTAL","301",""
"2013","PL426","KM2","TOTAL","4,365",""
"2013","PL427","KM2","TOTAL","10,339",""
"2013","PL428","KM2","TOTAL","7,438",""
"2013","PL43","KM2","TOTAL","13,988",""
"2013","PL431","KM2","TOTAL","6,113",""
"2013","PL432","KM2","TOTAL","7,875",""
"2013","PL5","KM2","TOTAL","29,358",""
"2013","PL51","KM2","TOTAL","19,947",""
"2013","PL514","KM2","TOTAL","293",""
"2013","PL515","KM2","TOTAL","5,569",""
"2013","PL516","KM2","TOTAL","3,473",""
"2013","PL517","KM2","TOTAL","4,180",""
"2013","PL518","KM2","TOTAL","6,432",""
"2013","PL52","KM2","TOTAL","9,411",""
"2013","PL523","KM2","TOTAL","4,092",""
"2013","PL524","KM2","TOTAL","5,320",""
"2013","PL6","KM2","TOTAL","60,152",""
"2013","PL61","KM2","TOTAL","17,972",""
"2013","PL613","KM2","TOTAL","2,916",""
"2013","PL616","KM2","TOTAL","4,054",""
"2013","PL617","KM2","TOTAL","4,006",""
"2013","PL618","KM2","TOTAL","3,340",""
"2013","PL619","KM2","TOTAL","3,656",""
"2013","PL62","KM2","TOTAL","24,011",""
"2013","PL621","KM2","TOTAL","7,334",""
"2013","PL622","KM2","TOTAL","10,330",""
"2013","PL623","KM2","TOTAL","6,347",""
"2013","PL63","KM2","TOTAL","18,170",""
"2013","PL633","KM2","TOTAL","414",""
"2013","PL634","KM2","TOTAL","4,303",""
"2013","PL636","KM2","TOTAL","5,246",""
"2013","PL637","KM2","TOTAL","4,105",""
"2013","PL638","KM2","TOTAL","4,102",""
"2013","PL7","KM2","TOTAL",":","z"
"2013","PL71","KM2","TOTAL",":","z"
"2013","PL711","KM2","TOTAL",":","z"
"2013","PL712","KM2","TOTAL",":","z"
"2013","PL713","KM2","TOTAL",":","z"
"2013","PL714","KM2","TOTAL",":","z"
"2013","PL715","KM2","TOTAL",":","z"
"2013","PL72","KM2","TOTAL",":","z"
"2013","PL721","KM2","TOTAL",":","z"
"2013","PL722","KM2","TOTAL",":","z"
"2013","PL8","KM2","TOTAL",":","z"
"2013","PL81","KM2","TOTAL",":","z"
"2013","PL811","KM2","TOTAL",":","z"
"2013","PL812","KM2","TOTAL",":","z"
"2013","PL814","KM2","TOTAL",":","z"
"2013","PL815","KM2","TOTAL",":","z"
"2013","PL82","KM2","TOTAL",":","z"
"2013","PL821","KM2","TOTAL",":","z"
"2013","PL822","KM2","TOTAL",":","z"
"2013","PL823","KM2","TOTAL",":","z"
"2013","PL824","KM2","TOTAL",":","z"
"2013","PL84","KM2","TOTAL",":","z"
"2013","PL841","KM2","TOTAL",":","z"
"2013","PL842","KM2","TOTAL",":","z"
"2013","PL843","KM2","TOTAL",":","z"
"2013","PL9","KM2","TOTAL",":","z"
"2013","PL91","KM2","TOTAL",":","z"
"2013","PL911","KM2","TOTAL",":","z"
"2013","PL912","KM2","TOTAL",":","z"
"2013","PL913","KM2","TOTAL",":","z"
"2013","PL92","KM2","TOTAL",":","z"
"2013","PL921","KM2","TOTAL",":","z"
"2013","PL922","KM2","TOTAL",":","z"
"2013","PL923","KM2","TOTAL",":","z"
"2013","PL924","KM2","TOTAL",":","z"
"2013","PL925","KM2","TOTAL",":","z"
"2013","PL926","KM2","TOTAL",":","z"
"2016","PL","KM2","TOTAL","311,928",""
"2016","PL1","KM2","TOTAL",":","z"
"2016","PL11","KM2","TOTAL",":","z"
"2016","PL113","KM2","TOTAL",":","z"
"2016","PL114","KM2","TOTAL",":","z"
"2016","PL115","KM2","TOTAL",":","z"
"2016","PL116","KM2","TOTAL",":","z"
"2016","PL117","KM2","TOTAL",":","z"
"2016","PL12","KM2","TOTAL",":","z"
"2016","PL127","KM2","TOTAL",":","z"
"2016","PL128","KM2","TOTAL",":","z"
"2016","PL129","KM2","TOTAL",":","z"
"2016","PL12A","KM2","TOTAL",":","z"
"2016","PL12B","KM2","TOTAL",":","z"
"2016","PL12C","KM2","TOTAL",":","z"
"2016","PL12D","KM2","TOTAL",":","z"
"2016","PL12E","KM2","TOTAL",":","z"
"2016","PL2","KM2","TOTAL","27,516",""
"2016","PL21","KM2","TOTAL","15,183",""
"2016","PL213","KM2","TOTAL","327",""
"2016","PL214","KM2","TOTAL","4,054",""
"2016","PL217","KM2","TOTAL","2,605",""
"2016","PL218","KM2","TOTAL","3,525",""
"2016","PL219","KM2","TOTAL","2,632",""
"2016","PL21A","KM2","TOTAL","2,040",""
"2016","PL22","KM2","TOTAL","12,333",""
"2016","PL224","KM2","TOTAL","3,049",""
"2016","PL225","KM2","TOTAL","2,353",""
"2016","PL227","KM2","TOTAL","1,352",""
"2016","PL228","KM2","TOTAL","1,576",""
"2016","PL229","KM2","TOTAL","879",""
"2016","PL22A","KM2","TOTAL","380",""
"2016","PL22B","KM2","TOTAL","1,800",""
"2016","PL22C","KM2","TOTAL","944",""
"2016","PL3","KM2","TOTAL",":","z"
"2016","PL31","KM2","TOTAL",":","z"
"2016","PL311","KM2","TOTAL",":","z"
"2016","PL312","KM2","TOTAL",":","z"
"2016","PL314","KM2","TOTAL",":","z"
"2016","PL315","KM2","TOTAL",":","z"
"2016","PL32","KM2","TOTAL",":","z"
"2016","PL323","KM2","TOTAL",":","z"
"2016","PL324","KM2","TOTAL",":","z"
"2016","PL325","KM2","TOTAL",":","z"
"2016","PL326","KM2","TOTAL",":","z"
"2016","PL33","KM2","TOTAL",":","z"
"2016","PL331","KM2","TOTAL",":","z"
"2016","PL332","KM2","TOTAL",":","z"
"2016","PL34","KM2","TOTAL",":","z"
"2016","PL343","KM2","TOTAL",":","z"
"2016","PL344","KM2","TOTAL",":","z"
"2016","PL345","KM2","TOTAL",":","z"
"2016","PL4","KM2","TOTAL","66,257",""
"2016","PL41","KM2","TOTAL","29,826",""
"2016","PL411","KM2","TOTAL","6,459",""
"2016","PL414","KM2","TOTAL","6,397",""
