,klient_id,wyksztalcenie,czy_samochod,czy_mieszkanie,plec,wynagrodzenie,wiek,czy_kupil,czy_w_bazie_klientow,liczba_zakupionych_wczesniej_produktow
0,0,podstawowe,0,1.0,0,8643.0,61.0,0,0,3.0
1,1,srednie,0,0.0,0,5537.0,44.0,0,1,11.0
2,2,podstawowe,1,1.0,0,8985.0,50.0,0,1,39.0
3,3,srednie,1,0.0,0,5547.0,57.0,0,1,8.0
4,4,wyzsze,0,0.0,1,9211.0,54.0,0,1,7.0
5,5,srednie,0,1.0,0,10004.0,63.0,0,1,9.0
6,6,wyzsze,1,1.0,0,7748.0,44.0,0,1,10.0
7,7,srednie,0,1.0,1,9924.0,51.0,1,1,17.0
8,8,wyzsze,1,1.0,1,9428.0,47.0,0,1,12.0
9,9,srednie,1,1.0,0,5320.0,59.0,1,1,1.0
10,10,wyzsze,1,0.0,0,12174.0,45.0,0,0,
11,11,srednie,1,0.0,0,11259.0,43.0,0,1,6.0
12,12,podstawowe,1,1.0,1,5816.0,52.0,0,1,13.0
13,13,srednie,1,1.0,0,9000.0,50.0,0,0,6.0
14,14,srednie,1,0.0,0,8354.0,68.0,0,1,8.0
15,15,srednie,1,1.0,0,7446.0,57.0,1,0,12.0
16,16,podstawowe,0,1.0,0,9010.0,51.0,0,1,12.0
17,17,wyzsze,1,0.0,0,10034.0,57.0,0,0,4.0
18,18,wyzsze,1,,0,7933.0,52.0,0,0,39.0
19,19,srednie,0,0.0,1,8864.0,60.0,0,0,34.0
20,20,wyzsze,1,0.0,0,7547.0,51.0,0,1,38.0
21,21,wyzsze,0,1.0,0,12030.0,56.0,0,1,13.0
22,22,wyzsze,1,1.0,0,8355.0,43.0,0,1,
23,23,podstawowe,0,1.0,1,8917.0,61.0,0,1,12.0
24,24,wyzsze,0,0.0,0,6280.0,51.0,0,0,4.0
25,25,wyzsze,1,1.0,0,7145.0,60.0,0,1,1.0
26,26,podstawowe,0,1.0,0,6744.0,44.0,0,1,10.0
27,27,wyzsze,0,0.0,0,6486.0,48.0,0,1,3.0
28,28,wyzsze,1,1.0,0,14619.0,48.0,0,1,14.0
29,29,wyzsze,0,1.0,0,10888.0,54.0,0,1,12.0
30,30,srednie,1,0.0,1,9132.0,,0,0,10.0
31,31,wyzsze,1,0.0,1,4396.0,52.0,0,1,
32,32,srednie,0,1.0,0,6455.0,49.0,1,1,11.0
33,33,srednie,1,1.0,1,7392.0,51.0,0,1,7.0
34,34,podstawowe,1,0.0,0,5679.0,54.0,0,1,4.0
35,35,srednie,0,1.0,0,9716.0,44.0,0,1,8.0
36,36,wyzsze,1,1.0,1,8779.0,59.0,1,1,11.0
37,37,podstawowe,0,1.0,0,7145.0,,0,1,11.0
38,38,podstawowe,1,0.0,0,12111.0,50.0,0,1,2.0
39,39,podstawowe,1,1.0,0,9389.0,48.0,1,1,32.0
40,40,podstawowe,1,0.0,1,,63.0,0,1,5.0
41,41,wyzsze,0,0.0,0,4432.0,48.0,0,1,33.0
42,42,podstawowe,0,0.0,0,10634.0,53.0,0,1,7.0
43,43,podstawowe,1,1.0,0,8423.0,52.0,0,0,7.0
44,44,srednie,0,1.0,0,8824.0,51.0,0,0,10.0
45,45,srednie,0,1.0,0,7745.0,56.0,0,1,7.0
46,46,srednie,1,0.0,1,9735.0,63.0,0,1,11.0
47,47,srednie,1,1.0,0,4545.0,46.0,0,0,9.0
48,48,wyzsze,1,1.0,1,5472.0,50.0,0,1,0.0
49,49,podstawowe,0,1.0,1,6576.0,49.0,0,1,11.0
50,50,wyzsze,0,0.0,1,7857.0,59.0,0,0,10.0
51,51,srednie,1,1.0,1,8274.0,53.0,0,1,4.0
52,52,podstawowe,0,1.0,1,6057.0,33.0,1,1,11.0
53,53,podstawowe,1,1.0,0,6482.0,57.0,0,1,15.0
54,54,wyzsze,0,1.0,0,5065.0,44.0,0,0,
55,55,srednie,0,1.0,0,7768.0,54.0,0,1,15.0
56,56,srednie,0,1.0,1,8629.0,55.0,0,1,4.0
57,57,wyzsze,1,0.0,1,6572.0,50.0,0,1,3.0
58,58,podstawowe,0,0.0,0,12985.0,46.0,0,1,8.0
59,59,wyzsze,1,1.0,0,8644.0,52.0,0,1,10.0
60,60,wyzsze,1,0.0,0,8125.0,61.0,0,1,8.0
61,61,wyzsze,1,0.0,0,6407.0,38.0,0,1,6.0
62,62,srednie,0,1.0,0,6170.0,48.0,0,1,10.0
63,63,wyzsze,0,1.0,0,9688.0,50.0,0,0,6.0
64,64,wyzsze,1,0.0,0,5180.0,51.0,0,0,12.0
65,65,podstawowe,1,1.0,1,6446.0,43.0,1,1,7.0
66,66,podstawowe,0,0.0,1,10005.0,54.0,0,1,
67,67,srednie,1,0.0,0,8368.0,55.0,0,1,14.0
68,68,podstawowe,1,1.0,0,12735.0,44.0,0,1,9.0
69,69,srednie,1,0.0,0,9009.0,50.0,0,1,14.0
70,70,podstawowe,1,1.0,0,5772.0,55.0,0,1,9.0
71,71,podstawowe,1,0.0,0,10033.0,41.0,0,1,9.0
72,72,srednie,1,1.0,0,8040.0,49.0,1,0,8.0
73,73,wyzsze,1,0.0,0,6479.0,51.0,1,0,10.0
74,74,wyzsze,1,0.0,1,8731.0,53.0,1,1,10.0
75,75,podstawowe,0,1.0,0,8170.0,51.0,0,1,4.0
76,76,srednie,0,0.0,1,5468.0,47.0,0,1,10.0
77,77,srednie,1,1.0,1,9922.0,,0,1,11.0
78,78,srednie,1,0.0,0,6325.0,57.0,0,1,6.0
79,79,srednie,0,1.0,0,6347.0,49.0,0,1,2.0
80,80,srednie,1,1.0,0,6403.0,66.0,0,1,6.0
81,81,wyzsze,1,0.0,0,11392.0,53.0,0,1,2.0
82,82,wyzsze,1,0.0,0,9808.0,58.0,0,1,9.0
83,83,srednie,1,0.0,0,5591.0,50.0,0,1,
84,84,srednie,1,1.0,0,7421.0,49.0,0,1,14.0
85,85,wyzsze,0,1.0,0,6483.0,,0,1,12.0
86,86,srednie,1,0.0,0,5685.0,49.0,0,1,9.0
87,87,podstawowe,1,1.0,1,7407.0,62.0,1,0,18.0
88,88,podstawowe,0,1.0,0,6735.0,58.0,0,1,
89,89,wyzsze,0,0.0,0,10193.0,,0,1,11.0
90,90,srednie,1,0.0,0,7193.0,46.0,0,1,9.0
91,91,podstawowe,1,1.0,1,6869.0,45.0,0,1,10.0
92,92,wyzsze,1,1.0,0,7252.0,51.0,0,1,11.0
93,93,podstawowe,1,1.0,0,7961.0,57.0,0,1,8.0
94,94,srednie,0,0.0,0,6297.0,48.0,0,0,5.0
95,95,wyzsze,1,1.0,0,10431.0,55.0,0,0,6.0
96,96,podstawowe,1,1.0,0,6082.0,,0,0,8.0
97,97,srednie,0,0.0,0,11045.0,48.0,0,1,25.0
98,98,srednie,0,0.0,0,4333.0,24.0,1,1,12.0
99,99,srednie,1,1.0,0,10769.0,57.0,0,1,6.0
100,100,srednie,1,0.0,0,7438.0,43.0,1,1,8.0
